x,next,prev,y,line,postal,name,prefecture
139.804638,綾瀬,null,35.748844,JR常磐線各駅停車,1200026,北千住,東京都
139.824934,亀有,北千住,35.762166,JR常磐線各駅停車,1200005,綾瀬,東京都
139.84756,金町,綾瀬,35.766541,JR常磐線各駅停車,1250061,亀有,東京都
139.870391,松戸,亀有,35.76951,JR常磐線各駅停車,1250042,金町,東京都
139.900828,北松戸,金町,35.784732,JR常磐線各駅停車,2710092,松戸,千葉県
139.91162,馬橋,松戸,35.800365,JR常磐線各駅停車,2710064,北松戸,千葉県
139.917317,新松戸,北松戸,35.811683,JR常磐線各駅停車,2710051,馬橋,千葉県
139.921192,北小金,馬橋,35.825439,JR常磐線各駅停車,2700017,新松戸,千葉県
139.930747,南柏,新松戸,35.833169,JR常磐線各駅停車,2700014,北小金,千葉県
139.95419,柏,北小金,35.844645,JR常磐線各駅停車,2770863,南柏,千葉県
139.971025,北柏,南柏,35.86219,JR常磐線各駅停車,2770005,柏,千葉県
139.988033,我孫子,柏,35.875675,JR常磐線各駅停車,2770831,北柏,千葉県
140.010473,天王台,北柏,35.872829,JR常磐線各駅停車,2701151,我孫子,千葉県
140.04232,取手,我孫子,35.872465,JR常磐線各駅停車,2701176,天王台,千葉県
140.062822,null,天王台,35.895298,JR常磐線各駅停車,3020014,取手,茨城県
